Episode,Reward
0,602
1,-10
2,60
3,345
4,273
5,180
6,-136
7,-153
8,4
9,-155
10,-50
11,90
12,185
13,-45
14,373
15,-355
16,40
17,-28
18,-318
19,-373
20,-427
21,275
22,245
23,-46
24,-337
25,-55
26,125
27,330
28,-136
29,350
30,-40
31,470
32,-190
33,-67
34,536
35,350
36,175
37,275
38,547
39,224
40,535
41,175
42,563
43,486
44,181
45,334
46,324
47,536
48,438
49,382
50,199
51,715
52,85
53,171
54,113
55,193
56,353
57,127
58,264
59,940
60,375
61,969
62,493
63,434
64,395
65,502
66,41
67,674
68,808
69,499
70,503
71,196
72,387
73,321
74,560
75,331
76,583
77,146
78,592
79,852
80,348
81,537
82,476
83,552
84,930
85,344
86,871
87,300
88,320
89,510
90,403
91,228
92,603
93,242
94,534
95,467
96,184
97,263
98,399
99,506
100,403
101,198
102,42
103,494
104,419
105,488
106,155
107,306
108,195
109,488
110,609
111,467
112,700
113,353
114,376
115,381
116,384
117,815
118,391
119,555
120,500
121,680
122,755
123,550
124,575
125,360
126,845
127,180
128,250
129,600
130,755
131,655
132,175
133,804
134,530
135,315
136,595
137,424
138,589
139,389
140,440
141,464
142,217
143,400
144,950
145,730
146,735
147,320
148,585
149,660
150,850
151,625
152,599
153,949
154,555
155,945
156,225
157,950
158,207
159,575
160,585
161,370
162,946
163,340
164,205
165,983
166,212
167,425
168,540
169,600
170,515
171,525
172,545
173,310
174,244
175,488
176,206
177,340
178,364
179,270
180,275
181,789
182,520
183,365
184,325
185,480
186,1059
187,375
188,655
189,400
190,185
191,205
192,300
193,979
194,300
195,300
196,375
197,450
198,849
199,1197
200,425
