Episode,Reward
0,352
1,294
2,681
3,239
4,716
5,642
6,738
7,912
8,869
9,715
10,799
11,406
12,795
13,291
14,368
15,248
16,97
17,623
18,740
19,161
20,241
21,219
22,615
23,457
24,-118
25,370
26,412
27,269
28,651
29,323
30,227
31,93
32,246
33,85
34,20
35,811
36,22
37,357
38,84
39,245
40,507
41,471
42,97
43,201
44,416
45,756
46,417
47,101
48,47
49,464
50,712
51,384
52,90
53,697
54,481
55,170
56,66
57,633
58,578
59,431
60,318
61,320
62,538
63,522
64,266
65,331
66,481
67,213
68,267
69,595
70,381
71,424
72,399
73,188
74,288
75,335
76,77
77,275
78,435
79,484
80,381
81,303
82,412
83,1038
84,118
85,456
86,295
87,381
88,598
89,124
90,178
91,467
92,311
93,331
94,901
95,622
96,769
97,380
98,538
99,199
100,124
101,160
102,228
103,355
104,295
105,226
106,671
107,245
108,352
109,308
110,337
111,498
112,255
113,420
114,233
115,227
116,390
117,545
118,285
119,-385
120,75
121,-200
122,-50
123,-115
124,85
125,250
126,755
127,675
128,378
129,427
130,452
131,259
132,213
133,538
134,265
135,276
136,209
137,459
138,283
139,327
140,306
141,351
142,452
143,358
144,537
145,425
146,530
147,1165
148,10
149,-175
150,-305
151,-75
152,-195
153,-100
154,-170
155,-250
156,-70
157,-140
158,-125
159,-225
160,-250
161,300
162,200
163,1047
164,175
165,445
166,490
167,444
168,484
169,340
170,458
171,87
172,466
173,309
174,508
175,65
176,-250
177,-270
178,-75
179,-215
180,-245
181,-230
182,-255
183,-200
184,-145
185,-155
186,-210
187,-235
188,-295
189,-215
190,-165
191,-225
192,-215
193,-235
194,-215
195,-255
196,-170
197,-295
198,490
199,191
200,422
