Episode,Reward
0,225
1,363
2,238
3,114
4,112
5,144
6,349
7,336
8,370
9,266
10,132
11,-104
12,-144
13,163
14,-43
15,-218
16,380
17,261
18,324
19,-53
20,585
21,-47
22,132
23,112
24,66
25,765
26,-45
27,37
28,-164
29,400
30,-150
31,26
32,625
33,660
34,129
35,700
36,-2
37,675
38,366
39,805
40,219
41,59
42,-61
43,600
44,343
45,455
46,-139
47,-35
48,111
49,253
50,179
51,-16
52,112
53,-80
54,375
55,394
56,1125
57,283
58,705
59,213
60,1025
61,900
62,756
63,648
64,217
65,990
66,359
67,-36
68,649
69,207
70,123
71,886
72,760
73,868
74,238
75,340
76,570
77,289
78,600
79,645
80,324
81,60
82,934
83,635
84,560
85,807
86,387
87,400
88,270
89,270
90,550
91,842
92,445
93,211
94,565
95,471
96,330
97,475
98,266
99,330
100,479
101,528
102,725
103,282
104,710
105,300
106,335
107,434
108,601
109,457
110,770
111,994
112,1073
113,675
114,510
115,441
116,725
117,650
118,551
119,424
120,318
121,559
122,650
123,420
124,518
125,300
126,740
127,244
128,615
129,362
130,855
131,366
132,674
133,440
134,319
135,300
136,535
137,338
138,631
139,625
140,299
141,203
142,500
143,384
144,575
145,300
146,335
147,821
148,172
149,338
150,605
151,792
152,500
153,430
154,230
155,470
156,325
157,385
158,665
159,325
160,550
161,240
162,332
163,331
164,213
165,314
166,494
167,505
168,301
169,695
170,400
171,411
172,728
173,265
174,225
175,507
176,360
177,279
178,75
179,350
180,301
181,164
182,610
183,240
184,159
185,315
186,525
187,600
188,215
189,445
190,566
191,338
192,358
193,339
194,595
195,358
196,388
197,351
198,362
199,309
200,376
