Episode,Reward
0,-14
1,14
2,351
3,764
4,338
5,764
6,445
7,192
8,206
9,270
10,501
11,245
12,192
13,391
14,285
15,675
16,100
17,43
18,246
19,782
20,124
21,44
22,401
23,188
24,-53
25,200
26,450
27,115
28,159
29,34
30,690
31,-376
32,-268
33,25
34,-544
35,25
36,-265
37,350
38,-289
39,-180
40,-291
41,150
42,125
43,34
44,127
45,250
46,285
47,120
48,-50
49,230
50,170
51,300
52,25
53,485
54,485
55,335
56,350
57,610
58,130
59,175
60,-144
61,150
62,127
63,350
64,28
65,-183
66,-291
67,-288
68,0
69,-15
70,-30
71,35
72,-150
73,-35
74,-165
75,165
76,-75
77,75
78,0
79,75
80,25
81,360
82,280
83,25
84,65
85,-119
86,15
87,-272
88,-205
89,-40
90,11
91,406
92,676
93,480
94,274
95,315
96,247
97,329
98,563
99,240
100,244
101,223
102,690
103,95
104,-55
105,170
106,-215
107,45
108,-165
109,5
110,110
111,-115
112,-65
113,-25
114,-150
115,-70
116,0
117,-50
118,75
119,110
120,-175
121,-180
122,-125
123,-95
124,-195
125,40
126,50
127,-285
128,-300
129,-25
130,-60
131,-200
132,-125
133,-215
134,-70
135,-225
136,-55
137,-150
138,-185
139,-185
140,-125
141,-295
142,-75
143,15
144,-100
145,-160
146,-50
147,-145
148,-20
149,-70
150,-210
151,-215
152,30
153,-100
154,-205
155,-280
156,-120
157,-175
158,-140
159,317
160,45
161,219
162,275
163,100
164,525
165,113
166,475
167,289
168,350
169,383
170,480
171,440
172,731
173,332
174,148
175,450
176,248
177,337
178,625
179,625
180,289
181,308
182,475
183,338
184,555
185,430
186,35
187,-265
188,-275
189,-345
190,-220
191,-125
192,-325
193,-220
194,-325
195,-265
196,-220
197,-10
198,-275
199,-275
200,-300
