Episode,Reward
0,-55
1,-320
2,-350
3,-80
4,-400
5,-330
6,-250
7,945
8,-620
9,900
10,1250
11,10
12,1245
13,975
14,-90
15,-225
16,-300
17,-395
18,-40
19,-355
20,-95
21,-300
22,1170
23,-135
24,1100
25,-410
26,170
27,1100
28,1155
29,-530
30,-205
31,820
32,925
33,-485
34,1255
35,-460
36,1100
37,-455
38,-285
39,1250
40,1500
41,-350
42,-495
43,-440
44,675
45,-435
46,545
47,-235
48,510
49,-200
50,880
51,1190
52,1110
53,-40
54,715
55,-350
56,-270
57,-470
58,75
59,960
60,-450
61,-20
62,-275
63,-205
64,965
65,465
66,850
67,1320
68,-10
69,1355
70,575
71,-130
72,875
73,-175
74,575
75,-235
76,-290
77,-280
78,-235
79,1100
80,1600
81,1190
82,1015
83,-185
84,-300
85,1500
86,-85
87,-250
88,-455
89,675
90,-125
91,-190
92,40
93,-755
94,-425
95,-425
96,-585
97,100
98,-355
99,1535
100,1400
101,900
102,-235
103,575
104,-325
105,-500
106,1830
107,-60
108,-425
109,-275
110,710
111,-20
112,-620
113,1155
114,-140
115,575
116,-465
117,-415
118,-275
119,-375
120,1200
121,1245
122,100
123,710
124,1615
125,850
126,-185
127,-200
128,-375
129,-45
130,-350
131,-450
132,795
133,685
134,-360
135,-600
136,-440
137,-20
138,-625
139,1445
140,1380
141,1450
142,1410
143,-285
144,-365
145,-275
146,645
147,-325
148,220
149,-10
150,1340
151,775
152,180
153,-175
154,-270
155,875
156,1255
157,205
158,-120
159,-140
160,860
161,85
162,-210
163,780
164,-320
165,0
166,-325
167,-110
168,835
169,0
170,-250
171,-360
172,195
173,-10
174,400
175,-225
176,855
177,240
178,340
179,575
180,120
181,950
182,875
183,-125
184,1340
185,600
186,945
187,-490
188,45
189,875
190,-275
191,750
192,-75
193,1255
194,1075
195,-200
196,-670
197,-100
198,1130
199,915
200,-350
